url,year,percentage
"http://www.trendlist.org/trends/circle
",2010,6
"http://www.trendlist.org/trends/circle
",2009,7
"http://www.trendlist.org/trends/circle
",2008,8
"http://www.trendlist.org/trends/circle
",2007,3
"http://www.trendlist.org/trends/circle
",2006,1
"http://www.trendlist.org/trends/circle
",2005,0
"http://www.trendlist.org/trends/circle
",2004,0
"http://www.trendlist.org/trends/circle
",N/A,25345454545455
"http://www.trendlist.org/trends/hyphens
",2016,1
"http://www.trendlist.org/trends/hyphens
",2015,5
"http://www.trendlist.org/trends/hyphens
",2014,8
"http://www.trendlist.org/trends/hyphens
",2013,10
"http://www.trendlist.org/trends/hyphens
",2012,11
"http://www.trendlist.org/trends/hyphens
",2011,9
"http://www.trendlist.org/trends/hyphens
",2010,7
"http://www.trendlist.org/trends/hyphens
",2009,5
"http://www.trendlist.org/trends/hyphens
",2008,3
"http://www.trendlist.org/trends/hyphens
",2007,2
"http://www.trendlist.org/trends/hyphens
",2006,1
"http://www.trendlist.org/trends/hyphens
",N/A,23825757575758
"http://www.trendlist.org/trends/stretched
",2016,1
"http://www.trendlist.org/trends/stretched
",2015,14
"http://www.trendlist.org/trends/stretched
",2014,16
"http://www.trendlist.org/trends/stretched
",2013,10
"http://www.trendlist.org/trends/stretched
",2012,8
"http://www.trendlist.org/trends/stretched
",2011,4
"http://www.trendlist.org/trends/stretched
",2010,4
"http://www.trendlist.org/trends/stretched
",2009,1
"http://www.trendlist.org/trends/stretched
",2008,1
"http://www.trendlist.org/trends/stretched
",1991,0
"http://www.trendlist.org/trends/stretched
",N/A,27451361867704
"http://www.trendlist.org/trends/table-of-contents
",2015,5
"http://www.trendlist.org/trends/table-of-contents
",2014,10
"http://www.trendlist.org/trends/table-of-contents
",2013,8
"http://www.trendlist.org/trends/table-of-contents
",2012,8
"http://www.trendlist.org/trends/table-of-contents
",2011,8
"http://www.trendlist.org/trends/table-of-contents
",2010,10
"http://www.trendlist.org/trends/table-of-contents
",2009,6
"http://www.trendlist.org/trends/table-of-contents
",2008,3
"http://www.trendlist.org/trends/table-of-contents
",2007,1
"http://www.trendlist.org/trends/table-of-contents
",2006,2
"http://www.trendlist.org/trends/table-of-contents
",2005,1
"http://www.trendlist.org/trends/table-of-contents
",2004,0
"http://www.trendlist.org/trends/table-of-contents
",N/A,24048780487805
"http://www.trendlist.org/trends/slant
",2015,9
"http://www.trendlist.org/trends/slant
",2014,6
"http://www.trendlist.org/trends/slant
",2013,9
"http://www.trendlist.org/trends/slant
",2012,9
"http://www.trendlist.org/trends/slant
",2011,6
"http://www.trendlist.org/trends/slant
",2010,9
"http://www.trendlist.org/trends/slant
",2009,4
"http://www.trendlist.org/trends/slant
",2008,1
"http://www.trendlist.org/trends/slant
",2007,0
"http://www.trendlist.org/trends/slant
",2006,1
"http://www.trendlist.org/trends/slant
",N/A,29771573604061
"http://www.trendlist.org/trends/wiggles
",2015,5
"http://www.trendlist.org/trends/wiggles
",2014,17
"http://www.trendlist.org/trends/wiggles
",2013,19
"http://www.trendlist.org/trends/wiggles
",2012,9
"http://www.trendlist.org/trends/wiggles
",2011,3
"http://www.trendlist.org/trends/wiggles
",2010,1
"http://www.trendlist.org/trends/wiggles
",2009,1
"http://www.trendlist.org/trends/wiggles
",N/A,30948717948718
"http://www.trendlist.org/trends/gradients
",2016,0
"http://www.trendlist.org/trends/gradients
",2015,6
"http://www.trendlist.org/trends/gradients
",2014,10
"http://www.trendlist.org/trends/gradients
",2013,12
"http://www.trendlist.org/trends/gradients
",2012,10
"http://www.trendlist.org/trends/gradients
",2011,9
"http://www.trendlist.org/trends/gradients
",2010,3
"http://www.trendlist.org/trends/gradients
",2009,3
"http://www.trendlist.org/trends/gradients
",2008,2
"http://www.trendlist.org/trends/gradients
",2004,1
"http://www.trendlist.org/trends/gradients
",N/A,28631578947368
"http://www.trendlist.org/trends/text-on-cover
",2015,4
"http://www.trendlist.org/trends/text-on-cover
",2014,10
"http://www.trendlist.org/trends/text-on-cover
",2013,11
"http://www.trendlist.org/trends/text-on-cover
",2012,10
"http://www.trendlist.org/trends/text-on-cover
",2011,8
"http://www.trendlist.org/trends/text-on-cover
",2010,5
"http://www.trendlist.org/trends/text-on-cover
",2009,4
